Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
Asus ROG Phone 5s ZS676KS Dual SIM 128 GB phantom black 8 GB RAM,"3.255,12",Celulares e Smartphones,4.7,38.0,5.0,Asus
Samsung Galaxy Galaxy M53 5G Dual SIM 128 GB azul 8 GB RAM,1.844,Celulares e Smartphones,4.7,4011.0,5.0,Webfones
Samsung Galaxy A14 (Exynos) 5G Dual SIM 128 GB black 4 GB RAM,1.178,Celulares e Smartphones,5.0,5.0,5.0,VILELA _MIX
Apple iPhone 14 Pro (1 TB) - Roxo-profundo,11.699,Celulares e Smartphones,4.9,58.0,5.0,Iplace
Positivo Twist 4 S514 Dual SIM 64 GB vermelho 1 GB RAM,"439,90",Celulares e Smartphones,3.5,218.0,5.0,123 Comprou
 Moto E40 Dual SIM 64 GB rosê 4 GB RAM,1.189,Celulares e Smartphones,4.6,824.0,5.0,COMMCENTER
Apple iPhone 14 Pro Max (128 GB) - Roxo-profundo,8.759,Celulares e Smartphones,4.9,139.0,5.0,FASTSHOP OFICIAL
Google Pixel 7 Pro 256 GB obsidian 12 GB RAM,9.199,Celulares e Smartphones,5.0,1.0,5.0,DVASHBRASIL
Smartphone Infinix Hot 11 128 Gb  Dual Chip 4gb Ram  Secret,"1.259,10",Celulares e Smartphones,4.5,13.0,5.0,Infinix
Smartphone Infinix Hot 11 128 Gb  Dual Chip 4gb Ram  Secret,"1.259,10",Celulares e Smartphones,4.5,13.0,5.0,Infinix
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud mint 6 GB RAM,"2.213,99",Celulares e Smartphones,4.8,2281.0,5.0,LOJA IEDAMIYASHIRO
Moto G8 Plus Dual SIM 64 GB Cereja 4 GB RAM,1.245,Celulares e Smartphones,4.8,225.0,5.0,TECMODENA
 Moto G22 Dual SIM 128 GB cosmic black 4 GB RAM,1.099,Celulares e Smartphones,4.6,4426.0,5.0,MEGAMAMUTE OFICIALES
"Smartphone Moto E13 Com Tela De 6,5'' 64gb 4gb Ram Off White Motorola",902,Celulares e Smartphones,4.7,26.0,5.0,Webfones
Multilaser G Max 2 (13 Mpx) Dual SIM 128 GB preto 4 GB RAM,"768,55",Celulares e Smartphones,4.4,448.0,5.0,COMERCIOELETRONICOSEVARIEDADES
